sample_id,visit_id,pcr_primers_ae,total_sequencing_reads_ae,reads_with_pcr_primers_ae,filtered_reads_ae,pcr_primers_tb,total_sequencing_reads_tb,reads_with_pcr_primers_tb,filtered_reads_tb,anaplasma_bovis_u03775_ae,anaplasma_bovis_ab983439_ae,anaplasma_marginale_cp000030_ae,anaplasma_platys_like_ku585990_ae,anaplasma_phagocytophilum_u02521_ae,candidatus_anaplasma_boleense_ku586025_ae,uncultured_anaplasma_sp_clone_saso_ky924885_ae,uncultured_anaplasma_sp_jn862825_ae,ehrlichia_sp_tibet_ehrlichia_canis_ehrlichia_minasensis_af414399_ay394465_mt163430_ae,ehrlichia_ruminantium_x61659_ae,anaplasma_platys_ef139459_ae,babesia_bigemina_ay603402_tb,babesia_bigemina_lk391709_tb,babesia_bigemina_ku206291_tb,theileria_mutans_af078815_tb,theileria_sp_strain_msd_af078816_tb,theileria_parva_l02366_tb,theileria_taurotragi_l19082_tb,theileria_velifera_af097993_tb,babesia_bovis_kf928959_tb,babesia_bovis_aaxt01000002_tb,babesia_bovis_ay603398_tb,babesia_bigemina_lk391709_2_tb,babesia_bovis_jq437260_tb,calf_id,visit_date,dead_or_alive_at_end_of_study,date_last_visit_with_data,date_of_birth,calf_sex,serology_t_parva,serology_t_mutans,serology_b_bigemina,serology_a_marginale,sample_week,date_of_death,euthanised,immediate_cause_pathology,definitive_aetiological_cause,definitive_cause_pathogen,contributing_pathology_1,contributing_cause_1,agro_ecological_zones,haemonchosis_coinfection,dead_or_alive_simple,event,time_to_event,genotype,died
RED002189,VRC210131,AnEh,40535,34423,26695,ThBa,1258,384,186,0,0,0,24928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA020510131,2008-11-26,Alive,NA,2008-07-06,F,2,2,3,16,21,NA,NA,NA,Alive,NA,NA,NA,Kamunuoit (5),NA,Alive,0,51,CT,No
RED002190,VCC010281,AnEh,10857,6100,5098,ThBa,40343,17992,13388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11951,1316,0,0,0,0,0,0,0,0,CA031010281,2008-11-26,Dead: Infectious death,2009-04-09,2008-06-25,F,NA,NA,NA,NA,1,2009-05-09,No,Anemia (whole blood loss),Censored,Haemonchus placei,Hypoproteinaemia,Helminthisasis,Bukati (10),absent,Dead,0,45.42857142857143,TT,Other
RED002191,VRC460304,AnEh,40458,34222,30049,ThBa,146349,126220,101812,0,0,0,14185,0,0,9417,0,0,0,0,0,0,0,67102,23823,0,0,10704,0,0,0,0,0,CA031110304,2008-11-27,Alive,NA,2008-01-05,F,58,24.5,5,32,46,NA,NA,NA,Alive,NA,NA,NA,Ikonzo (11),NA,Alive,0,51,CC,No
RED002192,VRC360306,AnEh,5443,4059,3642,ThBa,40237,29696,24553,0,3135,0,0,0,0,0,0,0,0,0,0,0,0,5649,1446,0,0,17427,0,0,0,0,0,CA031110306,2008-11-27,Alive,NA,2008-03-21,F,21.5,6,16.5,5.5,36,NA,NA,NA,Alive,NA,NA,NA,Ikonzo (11),NA,Alive,0,51,CT,No
RED002193,VRC060314,AnEh,3745,1968,1682,ThBa,797747,520026,422857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422690,0,0,0,0,0,0,0,0,0,CA031110314,2008-11-27,Dead: Infectious death,2009-04-16,2008-10-19,F,5,4.5,2.5,3,6,2009-04-23,No,Lymphoblastic interstitial pneumonia,Dead,Theileria parva,Hypoproteinaemia,Helminthisasis,Ikonzo (11),absent,Dead,1,26.571428571428573,CC,ECF
RED002194,VRC510301,AnEh,986,709,496,ThBa,1624,930,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,0,0,0,0,0,0,0,0,0,CA031110301,2008-11-27,Alive,NA,2007-12-02,F,16.5,16,5,9,51,NA,NA,NA,Alive,NA,NA,NA,Ikonzo (11),NA,Alive,0,51,CC,No
RED002196,VRC260309,AnEh,61947,46345,39997,ThBa,120497,82225,62433,6007,16962,0,3506,0,0,0,0,0,0,0,0,0,887,53877,4203,1658,745,0,0,0,0,0,0,CA031110309,2008-11-27,Alive,NA,2008-06-12,F,16,16,12,8,26,NA,NA,NA,Alive,NA,NA,NA,Ikonzo (11),NA,Alive,0,51,CT,No
RED002197,VRC460305,AnEh,682268,570184,486612,ThBa,14905,6297,5145,1319,23027,0,287780,0,0,173842,0,0,0,0,0,0,0,0,0,0,0,4568,0,0,0,0,0,CA031110305,2008-11-27,Alive,NA,2008-01-06,M,15,15,17,26,46,NA,NA,NA,Alive,NA,NA,NA,Ikonzo (11),NA,Alive,0,51,CT,No
RED002199,VRC260220,AnEh,6963,4769,3871,ThBa,138226,91088,70613,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,43915,13370,0,0,13271,0,0,0,0,0,CA030810220,2008-12-01,Alive,NA,2008-06-11,F,2.5,25.5,5.5,4,26,NA,NA,NA,Alive,NA,NA,NA,Igero (8),NA,Alive,0,51,CT,No
RED002200,VRC110224,AnEh,10966,6877,5689,ThBa,208,67,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA030810224,2008-12-01,Alive,NA,2008-09-20,F,11.5,21,7.5,7,11,NA,NA,NA,Alive,NA,NA,NA,Igero (8),NA,Alive,0,51,CC,No
