"calf_id","calf_sex","weight","sample_week","agro_ecological_zones"
"CA041610452","F","38",26,"Ojwando B (16)"
"CA041610454","F","38",26,"Ojwando B (16)"
"CA041610451","F","32.5",31,"Ojwando B (16)"
"CA020410098","M","34",6,"Mabusi (4)"
"CA031110301","F","NA",21.4285714285714,"Ikonzo (11)"
"CA030810214","F","NA",20.7142857142857,"Igero (8)"
"CA031110308","F","17",1,"Ikonzo (11)"
"CA030810218","M","17",1,"Igero (8)"
"CA010110002","M","NA",32.5714285714286,"East Siboti (1)"
"CA052010576","M","NA",3.42857142857143,"Magombe East (20)"
"CA030710187","M","NA",6.42857142857143,"Otimong (7)"
"CA030710187","M","NA",8.42857142857143,"Otimong (7)"
"CA010210038","M","NA",8.71428571428571,"Kidera (2)"
"CA030910247","F","22.5",1,"Bulwani (9)"
"CA010110010","M","19",1,"East Siboti (1)"
"CA031010274","M","NA",17.2857142857143,"Bukati (10)"
"CA020510121","F","NA",27.1428571428571,"Kamunuoit (5)"
"CA020610160","F","16",1,"Karisa (6)"
"CA030710189","F","12.5",1,"Otimong (7)"
"CA051910541","F","NA",30,"Bujwanga (19)"
"CA020410097","F","14",1,"Mabusi (4)"
"CA020410098","M","24",1,"Mabusi (4)"
"CA030710190","F","19",1,"Otimong (7)"
"CA010110010","M","26.5",6,"East Siboti (1)"
"CA031210335","M","21.5",1,"Bumala A (12)"
"CA010310066","F","17",1,"Kokare (3)"
"CA010310061","F","31.5",31,"Kokare (3)"
"CA010310064","M","26",21,"Kokare (3)"
"CA010310063","M","49",26,"Kokare (3)"
"CA010310062","F","39",26,"Kokare (3)"
"CA020410092","M","36",36,"Mabusi (4)"
"CA020410097","F","20",6,"Mabusi (4)"
"CA020410094","F","38.5",26,"Mabusi (4)"
"CA020410095","M","33.5",11,"Mabusi (4)"
"CA020410096","F","39",11,"Mabusi (4)"
"CA030710189","F","14",6,"Otimong (7)"
"CA030710181","F","NA",36,"Otimong (7)"
"CA030710185","M","61",26,"Otimong (7)"
"CA030710190","F","32",6,"Otimong (7)"
"CA030710182","M","55",31,"Otimong (7)"
"CA030710186","M","55.5",21,"Otimong (7)"
"CA030710184","M","45",26,"Otimong (7)"
"CA030710188","M","32",11,"Otimong (7)"
"CA051910541","F","35.5",36,"Bujwanga (19)"
"CA041710482","M","NA",36,"Kodiere (17)"
"CA010310062","F","44",31,"Kokare (3)"
"CA010310063","M","52",31,"Kokare (3)"
"CA010310067","F","23",6,"Kokare (3)"
"CA010310061","F","NA",36,"Kokare (3)"
"CA010310064","M","30",26,"Kokare (3)"
"CA010310066","F","21",6,"Kokare (3)"
"CA010310065","F","35",11,"Kokare (3)"
"CA030910245","M","18",6,"Bulwani (9)"
"CA030910242","F","NA",36,"Bulwani (9)"
"CA030910243","F","38",31,"Bulwani (9)"
"CA030910241","F","NA",36,"Bulwani (9)"
"CA030910246","F","24",6,"Bulwani (9)"
"CA030910244","M","29",11,"Bulwani (9)"
"CA010310069","F","13",1,"Kokare (3)"
"CA051810517","M","29",16,"Luanda (18)"
"CA031410392","F","39",26,"Simur East (14)"
"CA031410394","M","32",11,"Simur East (14)"
"CA031410397","M","33",6,"Simur East (14)"
"CA031410391","M","NA",36,"Simur East (14)"
"CA010210034","F","52",26,"Kidera (2)"
"CA051810515","F","33.5",26,"Luanda (18)"
"CA031410396","M","30",6,"Simur East (14)"
"CA031410393","F","41",26,"Simur East (14)"
"CA031410395","F","30",11,"Simur East (14)"
"CA030910245","M","15",1,"Bulwani (9)"
"CA010310067","F","16",1,"Kokare (3)"
"CA031010279","F","18",1,"Bukati (10)"
"CA030910246","F","19",1,"Bulwani (9)"
"CA031410396","M","19",1,"Simur East (14)"
"CA041510428","F","13",1,"Namboboto (15)"
"CA031410397","M","21",1,"Simur East (14)"
"CA020510128","M","17",1,"Kamunuoit (5)"
"CA020510129","F","18",1,"Kamunuoit (5)"
"CA052010577","M","14",1,"Magombe East (20)"
"CA031110301","F","41",26,"Ikonzo (11)"
"CA031110303","F","31",26,"Ikonzo (11)"
"CA031110306","F","25",11,"Ikonzo (11)"
"CA030810219","M","16",1,"Igero (8)"
"CA031310367","M","20",1,"Yiro West (13)"
"CA010110011","F","22.5",1,"East Siboti (1)"
"CA010110012","M","17",1,"East Siboti (1)"
"CA031210336","M","23.5",1,"Bumala A (12)"
"CA052010578","F","22.5",1,"Magombe East (20)"
"CA031210337","M","15",1,"Bumala A (12)"
"CA031110309","F","18",1,"Ikonzo (11)"
"CA031310368","M","20",1,"Yiro West (13)"
"CA020410100","M","27",1,"Mabusi (4)"
"CA020410099","F","18",1,"Mabusi (4)"
"CA030710191","M","18",1,"Otimong (7)"
"CA030710192","M","25",1,"Otimong (7)"
"CA051910548","F","22",1,"Bujwanga (19)"
"CA041710487","M","22",1,"Kodiere (17)"
"CA041710488","M","20.5",1,"Kodiere (17)"
"CA020610161","F","17",1,"Karisa (6)"
"CA010210040","F","24",1,"Kidera (2)"
"CA030910248","M","16.5",1,"Bulwani (9)"
"CA031010281","F","19",1,"Bukati (10)"
"CA030710189","F","NA",8.14285714285714,"Otimong (7)"
"CA030710190","F","NA",7.57142857142857,"Otimong (7)"
"CA010210041","M","16.5",1,"Kidera (2)"
"CA031110310","F","21",1,"Ikonzo (11)"
"CA031010279","F","27",6,"Bukati (10)"
"CA031010280","F","20",6,"Bukati (10)"
